timestamp;value
31/10/2019 00:00:09;1121.96
31/10/2019 00:00:17;1121.96
31/10/2019 00:00:26;1121.96
31/10/2019 00:00:35;1121.96
31/10/2019 00:00:43;1121.96
31/10/2019 00:00:52;1121.96
31/10/2019 00:01:00;1122.02
31/10/2019 00:01:09;1122.08
31/10/2019 00:01:18;1122.14
31/10/2019 00:01:26;1122.20
31/10/2019 00:01:35;1122.26
31/10/2019 00:01:44;1122.32
31/10/2019 00:01:52;1122.38
31/10/2019 00:02:01;1122.40
31/10/2019 00:02:10;1122.40
31/10/2019 00:02:18;1122.40
31/10/2019 00:02:27;1122.40
31/10/2019 00:02:36;1122.40
31/10/2019 00:02:44;1122.40
31/10/2019 00:02:53;1122.40
31/10/2019 00:03:01;1122.37
31/10/2019 00:03:10;1122.31
31/10/2019 00:03:19;1122.25
31/10/2019 00:03:27;1122.19
31/10/2019 00:03:36;1122.13
31/10/2019 00:03:45;1122.07
31/10/2019 00:03:53;1122.01
31/10/2019 00:04:02;1121.96
31/10/2019 00:04:11;1121.96
31/10/2019 00:04:19;1121.96
31/10/2019 00:04:28;1121.96
31/10/2019 00:04:36;1121.96
31/10/2019 00:04:45;1121.96
31/10/2019 00:04:54;1121.96
31/10/2019 00:05:02;1212.63
31/10/2019 00:05:11;1212.50
31/10/2019 00:05:20;1212.38
31/10/2019 00:05:28;1212.26
31/10/2019 00:05:37;1212.13
31/10/2019 00:05:46;1212.01
31/10/2019 00:05:54;1211.89
31/10/2019 00:06:03;1211.87
31/10/2019 00:06:12;1212.06
31/10/2019 00:06:20;1212.24
31/10/2019 00:06:29;1212.43
31/10/2019 00:06:37;1212.62
31/10/2019 00:06:46;1212.81
31/10/2019 00:06:55;1212.99
31/10/2019 00:07:03;1213.08
31/10/2019 00:07:12;1213.02
31/10/2019 00:07:21;1212.96
31/10/2019 00:07:29;1212.90
31/10/2019 00:07:38;1212.83
31/10/2019 00:07:47;1212.77
31/10/2019 00:07:55;1212.71
31/10/2019 00:08:04;1212.67
31/10/2019 00:08:12;1212.67
31/10/2019 00:08:21;1212.67
31/10/2019 00:08:30;1212.67
31/10/2019 00:08:38;1212.67
31/10/2019 00:08:47;1212.67
31/10/2019 00:08:56;1212.67
31/10/2019 00:09:04;1212.61
31/10/2019 00:09:13;1212.49
31/10/2019 00:09:22;1212.36
31/10/2019 00:09:30;1212.24
31/10/2019 00:09:39;1212.11
31/10/2019 00:09:48;1211.99
31/10/2019 00:09:56;1211.86
31/10/2019 00:10:05;1211.88
31/10/2019 00:10:13;1212.00
