timestamp;value
30/10/2019 20:34:53;529.9479
30/10/2019 20:35:58;530.382
30/10/2019 20:37:00;530.382
30/10/2019 20:38:00;530.382
30/10/2019 20:39:00;530.382
30/10/2019 20:40:00;529.9479
30/10/2019 20:41:34;529.5139
30/10/2019 20:42:45;530.382
30/10/2019 20:43:45;528.2118
30/10/2019 20:44:04;528.2118
30/10/2019 20:44:05;592.882
30/10/2019 20:45:05;592.4479
30/10/2019 20:46:09;592.882
30/10/2019 20:47:10;592.882
30/10/2019 20:48:11;593.316
30/10/2019 20:49:15;593.316
30/10/2019 20:50:16;592.882
30/10/2019 20:51:33;593.316
30/10/2019 20:52:34;592.882
30/10/2019 20:53:41;593.316
30/10/2019 20:54:41;593.316
30/10/2019 20:55:43;592.882
30/10/2019 20:56:45;592.882
30/10/2019 20:57:45;593.316
30/10/2019 20:58:47;594.184
30/10/2019 20:59:17;631.9445
30/10/2019 21:00:19;632.3785
30/10/2019 21:01:19;631.9445
30/10/2019 21:02:20;631.9445
30/10/2019 21:03:21;631.5104
30/10/2019 21:04:26;631.5104
30/10/2019 21:05:27;631.9445
30/10/2019 21:06:31;631.9445
30/10/2019 21:07:33;631.9445
30/10/2019 21:08:43;633.2465
30/10/2019 21:09:46;631.9445
30/10/2019 21:10:47;632.3785
30/10/2019 21:11:47;632.3785
30/10/2019 21:13:00;632.3785
30/10/2019 21:14:00;632.3785
30/10/2019 21:14:39;632.3785
30/10/2019 21:14:40;686.632
30/10/2019 21:15:41;686.632
30/10/2019 21:16:41;687.5
30/10/2019 21:17:46;687.5
30/10/2019 21:18:48;687.5
30/10/2019 21:19:54;687.5
30/10/2019 21:20:56;686.632
30/10/2019 21:21:56;686.632
30/10/2019 21:22:57;686.632
30/10/2019 21:23:58;686.1979
30/10/2019 21:25:00;686.632
30/10/2019 21:26:08;685.7639
30/10/2019 21:27:08;686.1979
30/10/2019 21:28:08;686.1979
30/10/2019 21:29:09;686.1979
30/10/2019 21:29:59;686.1979
30/10/2019 21:30:00;730.0347
30/10/2019 21:31:00;730.0347
30/10/2019 21:32:02;730.0347
30/10/2019 21:33:05;730.0347
30/10/2019 21:34:06;730.9028
30/10/2019 21:35:09;730.0347
30/10/2019 21:36:10;730.9028
30/10/2019 21:37:10;730.0347
30/10/2019 21:38:11;730.0347
30/10/2019 21:39:18;730.0347
30/10/2019 21:40:23;730.0347
30/10/2019 21:41:25;731.3369
30/10/2019 21:42:26;730.9028
30/10/2019 21:43:27;730.0347
30/10/2019 21:44:53;731.3369
30/10/2019 21:45:33;731.3369
30/10/2019 21:45:34;786.0244
30/10/2019 21:46:34;786.0244
30/10/2019 21:47:34;786.4584
30/10/2019 21:48:40;786.0244
30/10/2019 21:49:42;786.0244
30/10/2019 21:50:42;786.4584
30/10/2019 21:52:00;786.4584
30/10/2019 21:53:05;786.0244
30/10/2019 21:54:05;786.0244
30/10/2019 21:55:09;786.0244
30/10/2019 21:56:13;786.0244
30/10/2019 21:57:13;786.4584
30/10/2019 21:58:15;786.0244
30/10/2019 21:59:15;786.0244
30/10/2019 22:00:16;786.4584
30/10/2019 22:00:33;786.4584
30/10/2019 22:00:34;846.7882
30/10/2019 22:01:36;846.7882
30/10/2019 22:02:37;846.3542
30/10/2019 22:03:43;846.7882
30/10/2019 22:04:50;846.7882
30/10/2019 22:05:54;846.7882
30/10/2019 22:06:55;847.2222
30/10/2019 22:08:00;846.3542
